id,Titel,Voornaam,Patroniem en tussenvoegsel,Achternaam,geslacht,Geportretteerd op,Geportretteerd op genormaliseerd,regent / kerkmeester,regent / kerkmeester genormaliseerd,lid/officier schutterij (vaandrigs vanaf 1650),lid/officier schutterij (vaandrigs vanaf 1650) genormaliseerd,functie in stadsregering,functie in stadsregering genormaliseerd,Elias,Dudok van Heel,Doop/geboren,Doop/geboren genormaliseerd,Doop/geboren te,DTB dopen,Begraven/overleden,Begraven/overleden genormaliseerd,Begraven/overleden te,DTB begraven,Getrouwd met,Getrouwd met genormaliseerd,Ondertrouw (+ leeftijd),Ondertrouw (+ leeftijd) genormaliseerd,DTB ondertrouw,Adres,Denominatie,Beroep,kohier 1585,kohier 1631,kohier 1674,Kohier 1742,Archief Hart,Associatie,Opmerkingen,Wikidata
1,,Jan,,Benningh Gerritsz,M,1525 ca. - B. 1 - NN,B. 1,1525-26 km. O.K.,km. O.K. 1525-01-01|1525-12-31/1526-01-01|1526-12-31,,,1531 Sch.,Sch. 1531-01-01|1531-12-31/1531-01-01|1531-12-31,,"2018, p. 62-63",1495/1500,1495-01-01/1500-12-31,,,1557,1557-01-01/1557-12-31,,,Griet Stansdr,Griet Stansdr (?),,,,t.o. N.K. 1543,,,,,,,,,"SAA 5015, nr. 40 (stamboom)",Q112644942
2,,Jacob,,Heyn Fransz,M,1525 ca. - B. 1 - NN,B. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Wouter,van,Hoogesteyn,M,1525 ca. - B. 1 - NN,B. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Meyndert ,,Willemsz,M,1525 ca. - B. 1 - NN,B. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Dirck,,Jacobsz,M,1529 - S. 1 - D. Jacobsz?,S. 1,,,,,,,,,1488/97,1488-01-1/1497-12-31,,,1567,1567-01-01/1567-12-31,Amsterdam,,,,,,,,,schilder,,,,,,,,
6,,Pompejus,,Occo,M,1532 - S. 5 - D. Jacobsz?,S. 5,1513-18 km. H. Stede,km. Nz.K. 1513-01-01|1513-12-31/1518-01-01|1518-12-31,,,,,,,1483,1483-01-01/1483-12-31,,,1537,1537-01-01/1537-12-31,,,Gerberich Claesdr,Gerberich Claesdr (?),,,,"Kalverstraat, in ''t Paradijs'",,,,,,,,,,Q1976418
7,,Ant.,,Fontain,M,"1533 - S. 6 - NN (Colijns f. 44, nr. 8)",S. 6,,,,,,,_,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Cornelis,,Anthonisz,M,1533 - S. 7 - C. Anthonisz?,S. 7,,,,,,,,,1505 ca.,1503-01-01/1507-12-31,Amsterdam,,1553,1553-01-01/1553-12-31,Amsterdam,,,,,,,,,schilder,,,,,,,,
9,,,,Braseman,M,"1535 - S. 9 - NN (Colijns f. 15, nr. 1)",S. 9,,, ,,,,"dl. 1, p. 29 ?",,,,,,nog in leven in 1546,1546-01-01/?,,,"Griet Dirck Jannendr, Lijsbeth Pietersdr ",Griet Dirck Jannendr (?); Lijsbeth Pietersdr (?),,,,,,,,,,,,,,
10,,Egbert,,Meindertsz,M,"1535 - S. 9 - NN (Colijns f. 15, nr. 2)",S. 9,,,,,,,_,,,,,,,,,,,,,,,,,,,,,,,,,
11,Mr.,Pieter,Gerritsz,Bicker / Bikker,M,"1535 - S. 9 - NN (Colijns f. 15, nr. 3 - 'Bikker')",S. 9,,,,,1534 Sch. [Mr. PGzB],Sch. 1534-01-01|1534-12-31/1534-01-01|1534-12-31,_,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Claes,Claesz,Gaef,M,1535 - S. 9 - NN?,S. 9,"1512 - OZHh 1512, 1514, 1516, 1517, 1519. ",OZHh 1512-01-01|1512-12-31/1512-01-01|1512-12-31; OZHh 1514-01-01|1514-12-31/1514-01-01|1514-12-31; OZHh 1516-01-01|1516-12-31/1517-01-01|1517-12-31; OZHh 1519-01-01|1519-12-31/1519-01-01|1519-12-31,,,1509 Sch.; 1510 R.,Sch. 1509-01-01|1509-12-31/1509-01-01|1509-12-31; R. 1510-01-01|1510-12-31/1510-01-01|1510-12-31,,,,,,,1561,1561-01-01/1561-12-31,,,,,,,,,,,,,,,,,"Van Gent 2012, p. 456-459",
13,,Jacob,Pietersz,Schaep,M,"1535, voor? - S. 10 - NN",S. 10,1524 - km. N.K. 1524-28; Gh 1531-1536,km. N.K. 1524-01-01|1524-12-31/1528-01-01|1528-12-31; Gh 1531-01-01|1531-12-31/1536-01-01|1536-12-31,,,1530 Sch.,Sch. 1530-01-01|1530-12-31/1530-01-01|1530-12-31,,,1486,1486-01-01/1486-12-31,,,1544,1544-01-01/1544-12-31,,,,,,,,,,,,,,,,,,
14,,Jacob,Dircksz,War II,M,1554 - S. 19 - J. War II?,S. 19,,,,,,,,,,,,,1568,1568-01-01/1568-12-31,,,,,,,,,,schilder,,,,,,,,
15,,Cornelis,Lambertsz,Opsie,M,1555 ca. - S. 21 - NN,S. 21,,,,,,,,,,,,,1579,1579-01-01/1579-12-31,,,,,,,,,,,,,,,,,"Van Gent 2012, p. 456-5459",
16,,Willem,Albertz,Blaeu,M,"1558 - S. 25 - NN (Colijns f. 23, nr. 03)",S. 25,,,,,,,_,,,,,,,,,,,,,,,,,,,,,,,,,
17,,Cornelis ,Cornelisz,Smit,M,"1558 - S. 25 - NN (Colijns f. 23, nr. 16)",S. 25,,,,,,,_,,,,,,,,,,,,,,,,,smid?,_,,,,,,,
18,,Reynier,Simonsz van,Neck,M,"1559 - S. 29 - NN (Colijns f. 21, nr. 1)",S. 29,,,"1558 - overm. Hd 1558, 59, kap. 1566, 1567, 1578 Hb ",overm. Hd 1558-01-01|1558-12-31/1559-01-01|1559-12-31; kap. Hd 1566-01-01|1566-12-31/1567-01-01|1567-12-31; kap. Hd 1578-01-01|1578-12-31/1578-01-01|1578-12-31,1578-81 R.; 1578-80 C.H.; 1581 B.,R. 1578-01-01|1578-12-31/1581-01-01|1581-12-31; C.H. 1578-01-01|1578-12-31/1580-01-01|1580-12-31; B. 1581-01-01|1581-12-31/1581-01-01|1581-12-31,"011 - dl. 1, p. 28 ",,,,,,1581,1581-01-01/1581-12-31,,,"Maria Jacob Roelofszoondr Drooch, Jobgen Thomasdr",Maria Jacob Roelofszoondr Drooch (?); Jobgen Thomasdr (?),,,,Warmoesstraat,,koopman,_,,,,,,,Q57151719
19,,Pieter ,Mieusz,Reael,M,"1559 - S. 29 - NN (Colijns f. 21, nr. 2)",S. 29,,,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
20,,Harman,,Meindertsz,M,"1559 - S. 29 - NN (Colijns f. 21, nr. 3)",S. 29,,,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
21,,Pieter,,Gent,M,"1559? - S. 26 - NN (Colijns f. 27, nr. 02)",S. 26,,,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
22,,Arent ,Kornelisz,Kool,M,"1559? - S. 26 - NN (Colijns f. 27, nr. 07)",S. 26,,,,,,,_,,,,,,,,,,,,,,,t Water (1585 NZ W. 3),,,008 (NZ f. 89),,,,,,,
23,,Volchard,,Krook,M,"1559? - S. 26 - NN (Colijns f. 27, nr. 13)",S. 26,,,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
24,,Balthasar,Simonsz,Appelman,M,"1559? - S. 26 - NN (Colijns f. 27, nr. 17)",S. 26,"1561 - SJh 1561, 1562",SJh 1561-01-01|1561-12-31/1562-01-01|1562-12-31,,,"1578-1602 R.; 1578, 82, 84, 86, 88 Sch.; 1585, 91-92, 97-99 Wm.; 1587 Th.E.; 1589 C.H.; 1594, 96, 1601 Th.; 1590, 93, 95, 1600 B.",R. 1578-01-01|1578-12-31/1602-01-01|1602-12-31; Sch. 1578-01-01|1578-12-31/1578-01-01|1578-12-31; Sch. 1582-01-01|1582-12-31/1582-01-01|1582-12-31; Sch. 1584-01-01|1584-12-31/1584-01-01|1584-12-31; Sch. 1586-01-01|1586-12-31/1586-01-01|1586-12-31; Sch. 1588-01-01|1588-12-31/1588-01-01|1588-12-31; Wm. 1585-01-01|1585-12-31/1585-01-01|1585-12-31; Wm. 1591-01-01|1591-12-31/1592-01-01|1592-12-31; Wm. 1597-01-01|1597-12-31/1599-01-01|1599-12-31; Th.E. 1587-01-01|1587-12-31/1587-01-01|1587-12-31; C.H. 1589-01-01|1589-12-31/1589-01-01|1589-12-31; Th. 1594-01-01|1594-12-31/1594-01-01|1594-12-31; Th. 1596-01-01|1596-12-31/1596-01-01|1596-12-31; Th. 1601-01-01|1601-12-31/1601-01-01|1601-12-31; B. 1590-01-01|1590-12-31/1590-01-01|1590-12-31; B. 1593-01-01|1593-12-31/1593-01-01|1593-12-31; B. 1595-01-01|1595-12-31/1595-01-01|1595-12-31; B. 1600-01-01|1600-12-31/1600-01-01|1600-12-31,"025 - dl. 1, p. 70",,1536,1536-01-01/1536-12-31,,,1602,1602-01-01/1602-12-31,,,"Aeffge Wijbes Rollema, Marij Hendricksdr",Aeffge Wijbes Rollema (?); Marij Hendricksdr (?),,,,"Kalverstraat westzijde, bij de Plaets (1585 NZ W. 4)",,zuivelkoper,045 (NZ f. 184) (Elias: verm v. 40.000),,,,,,liet verm na van 40.000,Q57150979
25,,Nicolaes,,Ruyghaver,M,1560? ca. - S. 31 - NN,S. 31,,,1560 - kol. ca. 1560,kol. ? 1558-01-01|1562-12-31/1558-01-01|1562-12-31,,,_,,,,Haarlem,,1577-11-23,1577-11-23,Amsterdam,,,,,,,,,,_,,,,,,"Van Gent 2012, p. 454-455",
26,Mr.,Wilhem,,Baerdesen / Bardesius,M,1562 - S. 33 - D. Barendsz?,S. 33,,,1580-1601 kol.-generaal en superintendent,kolgen. ? 1580-01-01|1580-12-31/1600-01-01|1600-12-31,"1578-1601 R, 1578, 79, 81, 82, 84, 86, 89, 92, 95, 97, 99, 1601 B",R. 1578-01-01|1578-12-31/1601-01-01|1601-12-31; B. 1578-01-01|1578-12-31/1579-01-01|1579-12-31; B. 1581-01-01|1581-12-31/1582-01-01|1582-12-31; B. 1584-01-01|1584-12-31/1584-01-01|1584-12-31; B. 1586-01-01|1586-12-31/1586-01-01|1586-12-31; B. 1589-01-01|1589-12-31/1589-01-01|1589-12-31; B. 1592-01-01|1592-12-31/1592-01-01|1592-12-31; B. 1595-01-01|1595-12-31/1595-01-01|1595-12-31; B. 1597-01-01|1597-12-31/1597-01-01|1597-12-31; B. 1599-01-01|1599-12-31/1599-01-01|1599-12-31; B. 1601-01-01|1601-12-31/1601-01-01|1601-12-31,"017 - dl. 1, p. 47-48",,1528,1528-01-01/1528-12-31,,,1601-03-21,1601-03-21,,,Aechgen Willemsdr Admirael (-1600),Aechgen Willemsdr Admirael (?),,,,NZ Houtmarkt,,,,,,,,,,Q57151017
27,,Dirck,Jansz de,Graeff,M,1562 - S. 34 - NN (Colijns f. 42),S. 34,1579 - Bwh 1579-1588,Bwh 1579-01-01|1579-12-31/1588-01-01|1588-12-31,,,"1578-89 R., 1578 B.",R. 1578-01-01|1578-12-31/1589-01-01|1589-12-31; B. 1578-01-01|1578-12-31/1578-01-01|1578-12-31,"022 - dl. 1, p. 61 ",,1529,1529-01-01/1529-12-31,,,1589,1589-01-01/1589-12-31,,,"Agniet Pietersdr van Neck, Matthea Jansdr Cat ",Agniet Pietersdr van Neck (?); Matthea Jansdr Cat (?),,,,"Warmoesstraat (1585 OZ W. 2), Dam, OZ Wester Voorburgwal",,ijzerkoper,210: 150 (OZ f. 24) en 060 (OZ f. 25),,,,,,,Q44284
28,,Jacob,Pietersz,Cappit,M,"1562 ca. - S. 35 - NN (Colijns f. 25, nr. ?)?",S. 35,,,,,,,,,,,,,1592,1592-01-01/1592-12-31,,,,,,,,,,,,,,,,,,
29,,Joost ,de,"Lyndraijer, Oude",M,"1562 ca. - S. 35 - NN (Colijns f. 25, nr. 5)",S. 35,,,,,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
30,,Pieter,Hendrikse,Opmeer,M,"1565 - B. 2 - NN Jeruz.vaarders, nr. 1",B. 2,"1553 - NZHh 1553, 1557, 1558, 1560",NZHh 1553-01-01|1553-12-31/1553-01-01|1553-12-31; NZHh 1557-01-01|1557-12-31/1558-01-01|1558-12-31; NZHh 1560-01-01|1560-12-31/1560-01-01|1560-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naar Jeruzalem in 1525,
31,,Reyer,,Willemsz,M,"1565 - B. 2 - NN Jeruz.vaarders, nr. 10",B. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naar Jeruzalem in 1562,
32,,Evert,Jansz,Backer,M,"1565 - B. 2 - NN Jeruz.vaarders, nr. 11",B. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naar Jeruzalem in 1563,
33,,Coen,,Barentsz,M,"1565 - B. 2 - NN Jeruz.vaarders, nr. 2",B. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naar Jeruzalem in 1550,
34,,Jan,Woutersz,Gael,M,"1565 - B. 2 - NN Jeruz.vaarders, nr. 4",B. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naar Jeruzalem in 1553,
35,,Matthys,van,Bancken,M,"1565 - B. 2 - NN Jeruz.vaarders, nr. 5",B. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naar Jeruzalem in 1553,
36,,Wouter,,Brugmans / Burchmansz,M,"1565 - B. 2 - NN Jeruz.vaarders, nr. 6",B. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naar Jeruzalem in 1557,
37,,Floris,,Gerritsz,M,"1565 - B. 2 - NN Jeruz.vaarders, nr. 7",B. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naar Jeruzalem in 1560,
38,,Thomas,,Symonsz,M,"1565 - B. 2 - NN Jeruz.vaarders, nr. 8",B. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naar Jeruzalem in 1561,
39,,Pieter,Gysbertsz,Ruysch,M,"1565 - B. 2 - NN Jeruz.vaarders, nr. 9",B. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naar Jeruzalem in 1562,
40,,Cornelis,Cornelisz,Velt / Felt,M,"1565 - B. 2 - NN Jeruz.vaarders, nr. 3",B. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naar Jeruzalem in 1551,
41,,Jan,Jacobsz,Bal / Huydecoper,M,1579 - S. 40 - NN Vd,S. 40,"1579 - Gh 1579-81, 1584, 1589, Bwh 1597-1599",Gh 1579-01-01|1579-12-31/1781-01-01|1781-12-31; Gh 1584-01-01|1584-12-31/1584-01-01|1584-12-31; Gh 1589-01-01|1589-12-31/1589-01-01|1589-12-31; Bwh 1597-01-01|1597-12-31/1599-01-01|1599-12-31,"1578 Vb - kap. W. 1 1578-.., kol. 1580",? Vd 1578-01-01|1578-12-31/1578-01-01|1578-12-31; kap. W. I 1578-01-01|1578-12-31/1578-01-01|?; kol. ? 1580-01-01|1580-12-31/1580-01-01|1580-12-31,1578-1624 R.; 1578 Sch.,R. 1578-01-01|1578-12-31/1624-01-01|1624-12-31; Sch. 1578-01-01|1578-12-31/1578-01-01|1578-12-31,"031 - dl. 1, p. 92",,1541,1541-01-01/1541-12-31,,,1624,1624-01-01/1624-12-31,,,"Lijsbeth Hendricksdr Wou, Lijsbeth Gerritsdr van Gemen",Lijsbeth Hendricksdr Wou (?); Lijsbeth Gerritsdr van Gemen (?),,,,"Gansoort (1585 OZ W. 1), Nes (1595), Sint Anthoniebreestraat (1606)",,leerlooier en handelaar in huiden,030 (OZ f. 10),,,,,,liet verm na van 170.000,Q1681879
42,,Harman,,Rodenburgh (Beths) de Oude,M,1580 - S. 41 - NN Kd,S. 41,"1550 - NZHh 1550-55, 1558-68, 1578-79",NZHh 1550-01-01|1550-12-31/1555-01-01|1555-12-31; NZHh 1558-01-01|1558-12-31/1568-01-01|1568-12-31; NZHh 1578-01-01|1578-12-31/1579-01-01|1579-12-31,"1566 - kap. 1566, 67, overm. Hd 1558, 1578 kap. W. 5 Vb",overm. Hd 1558-01-01|1558-12-31/1558-01-01|1558-12-31; kap. ? 1566-01-01|1566-12-31/1567-01-01|1567-12-31; kap. W. V 1578-01-01|1578-12-31/1578-01-01|1578-12-31,1578-1605 R.; …,R. 1578-01-01|1578-12-31/1605-01-01|1605-12-31,"012 - dl. 1, p. 33 ",,,,,,1605,1605-01-01/1605-12-31,,,Aecht Dircksdr van Heeckelen,Aecht Dircksdr van Heeckelen (?),,,,Kalverstraat (1585 NZ W. 4),,"drapenierder, verver (1585: 'hoptman')",040 (NZ f. 184),,,,,,,
43,,Dirck,Jacobsz,Rosecrans,M,1584 - S. 42 - J. Lenartsz? Kd,S. 42,1583 - km. O.K. 1583,km. O.K. 1583-01-01|1583-12-31/1583-01-01|1583-12-31,"1584 - kap. 1584, kap. W. V [= OZ W. 4] 1585",kap. ? 1584-01-01|1584-12-31/1584-01-01|1584-12-31; kap. W. V 1585-01-01|1585-12-31/1585-01-01|1585-12-31,1589-1603 CKZ,C.K.Z. 1589-01-01|1589-12-31/1603-01-01|1603-12-31,"dl. 1, p. 287",,ca. 1555/60,1553-01-01/1562-12-31,,,in of na 1603 (Bayes komt in 1610 als wed voor),1603-01-01/?,,,,,,,,"Warmoesstraat, in de Rozencrans [nr. 37] (1585 OZ W. 4)",,koopman,025 (OZ f. 61),,,,,,,
44,,NN,,Ruysch,M,1584 - S. 42 - J. Lenartsz? Kd,S. 42,,,1584 - luit. 1584,luit. ? 1584-01-01|1584-12-31/1584-01-01|1584-12-31,,,_,,,,,,,,,,,,,,,,,,_,,,,,,,
45,,Jacob,Andriesz,Boelens,M,"1584? - S. 43 - P. Pietersz (Colijns f. 39, nr. 01)",S. 43,,,"1584 - kap. 1584, kap. W. VI 1585 [woont OZ 3]; overm. Vd 1583 (Elias)",overm. Vd 1583-01-01|1583-12-31/1583-01-01|1583-12-31; kap. ? 1584-01-01|1584-12-31/1584-01-01|1584-12-31; kap. W. VI 1585-01-01|1585-12-31/1585-01-01|1585-12-31,"1606, 07, 09, 10, 12, 14, 15, 18, 19, 21 B.; Elias: 1583 Sch., 1595, 98, 99, 1606, 07, 09, 10, 12, 14, 15, 18, 19, 21 B.",Sch. 1583-01-01|1583-12-31/1583-01-01|1583-12-31; B. 1595-01-01|1595-12-31/1595-01-01|1595-12-31; B. 1598-01-01|1598-12-31/1599-01-01|1599-12-31; B. 1606-01-01|1606-12-31/1607-01-01|1607-12-31; B. 1609-01-01|1609-12-31/1610-01-01|1610-12-31; B. 1612-01-01|1612-12-31/1612-01-01|1612-12-31; B. 1614-01-01|1614-12-31/1615-01-01|1615-12-31; B. 1618-01-01|1618-12-31/1619-01-01|1619-12-31; B. 1621-01-01|1621-12-31/1621-01-01|1621-12-31,"dl. 1, p. 114","JbA 105 (2013), p. 98 n. 90",1554,1554-01-01/1554-12-31,,,1621,1621-01-01/1621-12-31,Amsterdam,,Weyntge Dircksdr Graeff,Weyntge Dircksdr Graeff (?),,,,"Burgwal (1585, OZ W. 3)",,,050 (OZ f. 50),wed. verm. 110.000,,,,,,Q1677437
46,,Hendrick,Andriesz,Boelisz / Boelensz,M,"1584? - S. 43 - P. Pietersz (Colijns f. 39, nr. 01)",S. 43,1579 - OZHh 1579-1583,OZHh 1579-01-01|1579-12-31/1583-01-01|1583-12-31,"1584 - kap. 1584, kap. W. IV 1585 [woont OZ W. 3]",kap. ? 1584-01-01|1584-12-31/1584-01-01|1584-12-31; kap. W. IV 1585-01-01|1585-12-31/1585-01-01|1585-12-31,1578 Sch.,Sch. 1578-01-01|1578-12-31/1578-01-01|1578-12-31,"dl. 1, p. 113","JbA 105 (2013), p. 98 n. 90",1542,1542-01-01/1542-12-31,,,1603,1603-01-01/1603-12-31,,,Neeltge Egbertsdr,Neeltge Egbertsdr (?),,,,"Liesdel, Warmoesstraat, in 'de Cruytsack' achter het Gulden Hooft [nr. 67], Idem (1585 OZ W. 3)",,lakenkoper,025 (OZ f. 41),,,,,,"Ook geportretteerd door P. Pietersz op de Waardijns der lakenen (1599), Rijksmuseum, SK-A-865",
47,,Teunis / Anthoni, Jansz,Schellingwouw,M,"1584? - S. 43 - P. Pietersz (Colijns f. 39, nr. 02)",S. 43,1580 - NZHh 1580-1583,NZHh 1580-01-01|1580-12-31/1583-01-01|1583-12-31,1579 - luit. W. II 1579,luit. W. II 1579-01-01|1579-12-31/1579-01-01|1579-12-31,1589 C.,C. 1589-01-01|1589-12-31/1589-01-01|1589-12-31,"dl. 1, p. 17","JbA 105 (2013), p. 98 n. 90",,,,,1594,1594-01-01/1594-12-31,Amsterdam,,Aeff Adriaensdr Cromhout,Aeff Adriaensdr Cromhout (?),,,,Nieuwendijk [nr. 177] (1585 NZ W. 3),,lakenkoper,020 (NZ f. 94),,,,,,,
48,,Evert ,Pietersz,Swart,M,"1584? - S. 43 - P. Pietersz (Colijns f. 39, nr. 05)",S. 43,,,,,,,"dl. 1, p. 8","JbA 105 (2013), p. 98 n. 90",,,,,1621,1621-01-01/1621-12-31,,,,,,,,t Water (Damrak) [nr. 59] (1585 NZ W. 3),,"askoper, zeepzieder, makelaar",007 (NZ f. 51),,,,,,,
49,,Dirck ,Aertsz,Martelaer,M,"1584? - S. 43 - P. Pietersz (Colijns f. 39, nr. 06)",S. 43,,,,,,,_,"JbA 105 (2013), p. 98 n. 90",,,,,,,,,,,,,,"Nieuwezijds Kolk, in 'de Martelaer' [Martelaarsgracht] (1585 NZ W. 1)",,,_,_,,,,,,
50,,Baltus,Jacobsz van,Hoorn,M,"1584? - S. 43 - P. Pietersz (Colijns f. 39, nr. 07)",S. 43,,,,,,,_,"JbA 105 (2013), p. 98 n. 90",,,,,,,,,,,,,,,,,_,,,,,,,
51,,Frans,Volckertsz,Kroock,M,"1584? - S. 43 - P. Pietersz (Colijns f. 39, nr. 08)",S. 43,1621 - Amh 1621,Amh 1621-01-01|1621-12-31/1621-01-01|1621-12-31,,,,,_,"JbA 105 (2013), p. 98 n. 90",1564,1564-01-01/1564-12-31,,,1652,1652-01-01/1652-12-31,,,,,,,,"Nieuwendijk, in 'de Fontein' [nr. 188] (1585 NZ W. 3)",,,_,_,,,,,,
52,,Aris,Martsz,Hardebol,M,"1584? - S. 43 - P. Pietersz (Colijns f. 39, nr. 10)",S. 43,,,,,,,_,"JbA 105 (2013), p. 98 n. 90",,,,,,,,,,,,,,"mogelijk Nieuwendijk, in 'de Hardebollen' [nr. 131]  (1585 NZ W. 2)",,,_,_,,,,,,
53,,Gerrit,,Jansz,M,"1584? - S. 43 - P. Pietersz (Colijns f. 39, nr. 11)",S. 43,,,,,,,_,"JbA 105 (2013), p. 98 n. 90",,,,,,,,,,,,,,,,,?,,,,,,,
54,,Johan,Pietersz,Reael,M,"1584? - S. 43 - P. Pietersz (Colijns f. 39, nr. 12)",S. 43,"1578 - NZHh 1578-1582, SJh 1598-1605",NZHh 1578-01-01|1578-12-31/1582-01-01|1582-12-31; SJh 1598-01-01|1598-12-31/1605-01-01|1605-12-31,"1578 - kap. 1578-.., luit W. III 1580, kol. 1601-04-?",kap. ? 1578-01-01|1578-12-31/1578-01-01|1578-12-31; luit. W. III 1580-01-01|1580-12-31/1580-01-01|1580-12-31; kol. ? 1601-01-01|1601-12-31/1604-01-01|1604-12-31,"1579, 91, 92 Sch.; …; 1603-21 R. ; …; 1604, 12 B.",Sch. 1579-01-01|1579-12-31/1579-01-01|1579-12-31; Sch. 1591-01-01|1591-12-31/1592-01-01|1592-12-31; R. 1603-01-01|1603-12-31/1621-01-01|1621-12-31; B. 1604-01-01|1604-12-31/1604-01-01|1604-12-31; B. 1612-01-01|1612-12-31/1612-01-01|1612-12-31,"079 - dl. 1, p. 260 ","JbA 105 (2013), p. 98 n. 90",1543,1543-01-01/1543-12-31,,,1621-05-16,1621-05-16,,,,,,,,OZ Kerkhof (1585 OZ W. 3),,ontv. gemeene landsmiddelen,036 (OZ f. 42),,,,,,,Q57151853
55,,Ysbrant,,Akkeleij,M,"1584? - S. 43 - P. Pietersz (Colijns f. 39, nr. 14)",S. 43,,,,,,,_,"JbA 105 (2013), p. 98 n. 90",,,,,,,,,,,,,,,,wachtmeester,_,,,,,,,
56,,Cornelis ,Cornelisz de,Lange,M,"1584? - S. 43 - P. Pietersz (Colijns f. 39, nr. 16)",S. 43,1578 - km. N.K. 1578; Bwh 1590-1601,km. N.K. 1578-01-01|1578-12-31/1578-01-01|1578-12-31; Bwh 1590-01-01|1590-12-31/1601-01-01|1601-12-31,,,,,_,"JbA 105 (2013), p. 98 n. 90",,,,,,,,,,,,,,,,,_,,,,,,,
57,,Cornelis ,,Schellinger,M,"1584? - S. 43 - P. Pietersz (Colijns f. 39, nr. 18)",S. 43,1687 - km. O.K. 1587; Rh 1617-1630,km. O.K. 1587-01-01|1587-12-31/1587-01-01|1587-12-31; Rh 1617-01-01|1617-12-31/1630-01-01|1630-12-31,,,,,"dl. 1, p. 301","JbA 105 (2013), p. 98 n. 90",1551,1551-01-01/1551-12-31,,,1635,1635-01-01/1635-12-31,,,,,,,,"Kolk bij Haarlemmersluis (1585 NZ W. 1), OZ Vbwal, oostzijde  (1631)",,koopman,010 (NZ f. 7),180 (f. 132r),,,,,,
58,,Reynst,,Pietersz,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 01),S. 45,1581 - OZHh 1581-1584,OZHh 1581-01-01|1581-12-31/1584-01-01|1584-12-31,"1578 - kap. 1578-.., luit. W. IX 1579",kap. ? 1578-01-01|1578-12-31/1578-01-01|1578-12-31; luit. W. IX 1579-01-01|1579-12-31/1579-01-01|1579-12-31,1580 Sch.,Sch. 1580-01-01|1580-12-31/1580-01-01|1580-12-31,"dl. 1, p. 372",,1540-1550,1540-01-01/1550-12-31,,,1599,1599-01-01/1599-12-31,Amsterdam,,Neeltge Simonsdr Jonckheyn,Neeltge Simonsdr Jonckheyn (?),,,,OZ Voorburgwal westzijde (1585 OZ W. 3) Nieuwebrugsteeg,,wijnkoper,012 (OZ f. 45),,,,,,,
59,,Claes ,Claesz,Kruys,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 02),S. 45,1593 km. N.K. [C.C. Gulde K.],km. N.K. 1593-01-01|1593-12-31/1593-01-01|1593-12-31,"1585 - vaand. 1585, overm. Hd 1598",vaand. ? 1585-01-01|1585-12-31/1585-01-01|1585-12-31; overm. Hd 1598-01-01|1598-12-31/1598-01-01|1598-12-31,1620-1629 C.,C. 1620-01-01|1620-12-31/1629-01-01|1629-12-31,"dl. 1, p. 203",,1552,1552-01-01/1552-12-31,,,1630,1630-01-01/1630-12-31,Amsterdam,,Trijntge Jacobsdr Preeckstoel,Trijntge Jacobsdr Preeckstoel (?),,,,N.Z. Voorburgwal,,lakenkoper,_,_,,,,,,
60,,Klaes,,Engelen,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 04),S. 45,,,,,,,_,,,,,,,,,,,,,,,Kalverstraat (1585 NZ W. 5),,koekenbakker?,003 (NZ f. 228),,,,,,,
61,,Jan ,/ Jansz,Banningh Koekkebakker,M,1585 - S. 45 - J. Lenartsz? Hd (Colijns f. 11. nr. 11),S. 45,,,1579 - kap. W. III 1579?,kap. W. III 1579-01-01|1579-12-31/1579-01-01|1579-12-31,,,_,,,,,,,,,,,,,,,Warmoesstraat (1585 OZ W. 2),,koekenbakker? Apotheker?,003 (OZ f. 26)?,,,,,,,
