id,Titel,Voornaam,Patroniem en tussenvoegsel,Achternaam,geslacht,Geportretteerd op,Geportretteerd op genormaliseerd,regent / kerkmeester,regent / kerkmeester genormaliseerd,lid/officier schutterij (vaandrigs vanaf 1650),lid/officier schutterij (vaandrigs vanaf 1650) genormaliseerd,functie in stadsregering,functie in stadsregering genormaliseerd,Elias,Dudok van Heel,Doop/geboren,Doop/geboren genormaliseerd,Doop/geboren te,DTB dopen,Begraven/overleden,Begraven/overleden genormaliseerd,Begraven/overleden te,DTB begraven,Getrouwd met,Getrouwd met genormaliseerd,Ondertrouw (+ leeftijd),Ondertrouw (+ leeftijd) genormaliseerd,DTB ondertrouw,Adres,Denominatie,Beroep,kohier 1585,kohier 1631,kohier 1674,Kohier 1742,Archief Hart,Associatie,Opmerkingen,Wikidata
740,,Philip,van der,Ghiessen,M,"1707 - R. 25 - Schoonjans Lh, nr. 2? - verloren",R. 25,1696 - Lh 1696-1712†,Lh 1696-01-01|1696-12-31/1712-01-01|1712-12-31,"1681 - vaand. W. XI 1681, W. XLVII 1681-84, luit. W. XV 1684-87, kap. W. XI 1687-1712",vaand. W. XI 1681-01-01|1681-12-31/1681-01-01|1681-12-31; ? W. XLVII 1681-01-01|1681-12-31/1684-01-01|1684-12-31; luit. W. XV 1684-01-01|1684-12-31/1687-01-01|1687-12-31; kap. W. XI 1687-01-01|1687-12-31/1712-01-01|1712-12-31,,,"dl. 2, p. 734",,1642,1642-01-01/1642-12-31,,,1712,1712-01-01/1712-12-31,,,Anna Valckenier,Anna Valckenier (?),1683-09-25,1683-09-25,,,remonstrant,koopman,,,,,,,,
741,,Carel,,Boelensz,M,"1707 - R. 25 - Schoonjans Lh, nr. 3? - verloren",R. 25,1700 - Lh 1700-1709†,Lh 1700-01-01|1700-12-31/1709-01-01|1709-12-31,,,,,_,,,,,,1709,1709-01-01/1709-12-31,,,,,,,,,,,,,,,,,,
742,Dr. ,Christoffel,,Valentijn,M,"1707 - R. 25 - Schoonjans Lh, nr. 4? - verloren",R. 25,"1687 - CM 1687-1704, Lh 1704-1712†",CM 1687-01-01|1687-12-31/1704-01-01|1704-12-31; Lh 1704-01-01|1704-12-31/1712-01-01|1712-12-31,,,,,_,,1642-04-20,1642-04-20,Amsterdam,"DTB 301, 25",1712-03-21,1712-03-21,Amsterdam,"DTB 1103, 19-20",Agneta de Cooker,Agneta de Cooker (?),1681-08-16,1681-08-16,,,,,,,,,,,,
743,,Gabriël,,Eyghels,M,1707 Schoonjans Dh? - verloren,X. 3,1698 - Dh 1698-1706†,Dh 1698-01-01|1698-12-31/1706-01-01|1706-12-31,1681-vaand. 1692-luit. (der burgerij),vaand. ? 1681-01-01|1681-12-31/1681-01-01|1681-12-31; luit. ? 1692-01-01|1692-12-31/1692-01-01|1692-12-31,,,"dl. 2, p. 704",,1640-03-02 d. ,1640-03-02,,,1706-08-23,1706-08-23,,,ongehuwd,,,,,,,koopman,,,"f150,- W8/f70v",,,,vermogen van 194.400,
744,,Dirk,van der,Meer,M,1707 Schoonjans Dh? - verloren,X. 3,1706 - Dh 1706-(1714),Dh 1706-01-01|1706-12-31/1714-01-01|1714-12-31,"1704 - vaand. W. XXXVII 1704-09, luit. W. XXXVIII 1709-12, kap. W. XLII 1712-38†",vaand. W. XXXVII 1704-01-01|1704-12-31/1709-01-01|1709-12-31; luit. W. XXXVIII 1709-01-01|1709-12-31/1712-01-01|1712-12-31; kap. W. XLII 1712-01-01|1712-12-31/1738-01-01|1738-12-31,1712 Sch.; 1732-38 R.,Sch. 1712-01-01|1712-12-31/1712-01-01|1712-12-31; R. 1732-01-01|1732-12-31/1738-01-01|1738-12-31,"325 - dl. 2, p. 783 ",,1686-12-08 d.,1686-12-08,,,1738,1738-01-01/1738-12-31,,,Debora Elias,Debora Elias (?),1712,1712,,Keizersgracht,,,,,,"22.000 - 24.000 W. 33/5895, (wed) 12.000 ink., 1700 huur (22-24.000 ink (wed))",,,liet een vermogen na van 538.483,Q57151667
745,Mr.,Jacob,,Trip Jansz,M,1707 Schoonjans Dh? - verloren,X. 3,1694 - Dh 1694-1698,Dh 1694-01-01|1694-12-31/1698-01-01|1698-12-31,"1698 - luit. W. L 1698-1701, kap. W. L 1701-15",luit. W. L 1698-01-01|1698-12-31/1701-01-01|1701-12-31; kap. W. L 1701-01-01|1701-12-31/1715-01-01|1715-12-31,1698 C.; 1723 Sch.,C. 1698-01-01|1698-12-31/1698-01-01|1698-12-31; Sch. 1723-01-01|1723-12-31/1723-01-01|1723-12-31,"dl. 2, p. 555",,1671-01-25 d.,1671-01-25,,,1728-02-17,1728-02-17,,,Jacoba Margaretha Klopper,Jacoba Margaretha Klopper (?),,,,,,,,,,,,,,
746,,Samuel ,,Wymer / Weymer,M,1707 Schoonjans Dh? - verloren,X. 3,1700 - Dh 1700-1719†,Dh 1700-01-01|1700-12-31/1719-01-01|1719-12-31,1695 - luit. W. XXIV 1695-1712,luit. W. XXIV 1695-01-01|1695-12-31/1712-01-01|1712-12-31,1719 C.,C. 1719-01-01|1719-12-31/1719-01-01|1719-12-31,"dl. 1, p.462",,1656-09-03 d.,1656-09-03,,,1723-02-02,1723-02-02,,,Maria Blaeuhelm,Maria Blaeuhelm (?),,,,,,notaris,,,,,,,,
747,Mr.,Andries,,Hees,M,"1714 - R. 42 - Boonen Sph NWh, nr. 1",R. 42,"1699 - Sph NWh 1699-1720†, kap. der Waalridders? 1699-1704",SphNWh 1699-01-01|1699-12-31/1720-01-01|1720-12-31,bew.h. VOC 1714,,,,"dl. 1, p. 106",,1662-10-27,1662-10-27,,,1720,1720-01-01/1720-12-31,,,Lucretia Hochepied,Lucretia Hochepied (?),,,,,,Boekhouder Wisselbank (1703),,,,"03.000 W. 60 / 5573 (wed.), 3.000 ink., 540 huur",,,,
748,,Tobias,,Looten,M,"1714 - R. 42 - Boonen Sph NWh, nr. 2",R. 42,1700 - Sph NWh 1700-1735†,SphNWh 1700-01-01|1700-12-31/1735-01-01|1735-12-31,"1688 - vaand. W. IX 1688-1697, luit. W. V 1701-17, kap. W. V 1717-35†",vaand. W. IX 1688-01-01|1688-12-31/1697-01-01|1697-12-31; luit. W. V 1701-01-01|1701-12-31/1717-01-01|1717-12-31; kap. W. V 1717-01-01|1717-12-31/1735-01-01|1735-12-31,,,_,,,,,,1735,1735-01-01/1735-12-31,,,,,,,,,,,,,,_,,,,
749,,Andries Carel,/ de,Jong(h),M,"1714 - R. 42 - Boonen Sph NWh, nr. 3",R. 42,1706 - Sph NWh 1706-1733,SphNWh 1706-01-01|1706-12-31/1733-01-01|1733-12-31,"1704 - vaand. W. XII 1704-09, luit. W. XIII 1709-32",vaand. W. XII 1704-01-01|1704-12-31/1709-01-01|1709-12-31; luit. W. XIII 1709-01-01|1709-12-31/1732-01-01|1732-12-31,,,_,,1698,1698-01-01/1698-12-31,,,1740,1740-01-01/1740-12-31,,,,,,,,,,,,,,"03.000 W. 57 / 3856 (erfg.) 3.000 ink., 685 huur",,,,
